_id,Proposal Number:,institution,country,role
58,UREP22-110-4-003,Qatar University,Qatar,Submitting Institution
59,UREP22-109-1-016,Qatar University,Qatar,Submitting Institution
60,UREP22-098-5-023,Qatar University,Qatar,Submitting Institution
61,UREP22-090-2-037,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
62,UREP22-087-1-012,Qatar University,Qatar,Submitting Institution
63,UREP22-076-1-011,Qatar University,Qatar,Submitting Institution
64,UREP22-067-5-021,Northwestern University in Qatar,Qatar,Submitting Institution
65,UREP22-063-2-023,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
66,UREP22-062-2-022,Qatar University,Qatar,Submitting Institution
67,UREP22-059-1-010,Qatar University,Qatar,Submitting Institution
68,UREP22-045-2-016,Qatar University,Qatar,Submitting Institution
69,UREP22-043-2-015,Qatar University,Qatar,Submitting Institution
70,UREP22-041-5-013,University of Calgary - Qatar,Qatar,Submitting Institution
71,UREP22-041-5-013,College of the North Atlantic - Qatar,Qatar,Collaborative Institution
72,UREP22-025-2-010,Qatar University,Qatar,Submitting Institution
73,UREP22-024-1-002,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
74,UREP22-010-2-005,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
75,UREP22-008-2-004,Qatar University,Qatar,Submitting Institution
76,UREP22-007-2-003,Qatar University,Qatar,Submitting Institution
77,UREP22-007-2-003,Ashghal - Public Works Authority,Qatar,Collaborative Institution
78,UREP22-006-2-002,Qatar University,Qatar,Submitting Institution
79,UREP22-005-5-003,Qatar University,Qatar,Submitting Institution
80,UREP22-003-2-001,Qatar University,Qatar,Submitting Institution
81,UREP22-003-2-001,Hamad Medical Corporation,Qatar,Collaborative Institution
82,UREP21-144-2-056,Qatar University,Qatar,Submitting Institution
83,UREP21-141-3-032,Qatar University,Qatar,Submitting Institution
84,UREP21-136-2-055,Hamad Bin Khalifa University,Qatar,Submitting Institution
85,UREP21-131-3-024,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
86,UREP21-120-5-016,Qatar University,Qatar,Submitting Institution
87,UREP21-119-2-050,Qatar University,Qatar,Submitting Institution
88,UREP21-118-1-021,Qatar University,Qatar,Submitting Institution
89,UREP21-117-5-015,Qatar University,Qatar,Submitting Institution
90,UREP21-108-2-047,Qatar University,Qatar,Submitting Institution
91,UREP21-105-3-018,Qatar University,Qatar,Submitting Institution
92,UREP21-103-5-011,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
93,UREP21-101-2-045,Qatar University,Qatar,Submitting Institution
94,UREP21-099-6-009,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
95,UREP21-098-2-044,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
96,UREP21-095-5-009,Qatar University,Qatar,Submitting Institution
97,UREP21-092-6-008,Qatar University,Qatar,Submitting Institution
98,UREP21-089-2-039,Qatar University,Qatar,Submitting Institution
99,UREP21-080-1-015,Qatar University,Qatar,Submitting Institution
100,UREP21-067-3-014,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
101,UREP21-062-2-022,Qatar University,Qatar,Submitting Institution
102,UREP21-060-1-012,Qatar University,Qatar,Submitting Institution
103,UREP21-059-1-011,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
104,UREP21-059-1-011,Child Development Center,Qatar,Collaborative Institution
105,UREP21-056-2-021,Qatar University,Qatar,Submitting Institution
106,UREP21-050-3-010,Qatar University,Qatar,Submitting Institution
107,UREP21-047-1-009,Qatar University,Qatar,Submitting Institution
108,UREP21-047-1-009,Hamad Bin Khalifa University,Qatar,Collaborative Institution
109,UREP21-043-6-004,Qatar University,Qatar,Submitting Institution
110,UREP21-036-5-006,Qatar University,Qatar,Submitting Institution
111,UREP21-035-2-013,Qatar University,Qatar,Submitting Institution
112,UREP21-033-2-011,Qatar University,Qatar,Submitting Institution
113,UREP21-028-1-006,Qatar University,Qatar,Submitting Institution
114,UREP22-009-5-004,Qatar University,Qatar,Submitting Institution
115,UREP21-019-5-001,Qatar University,Qatar,Submitting Institution
116,UREP21-011-3-005,Qatar University,Qatar,Submitting Institution
117,UREP20-153-5-036,Qatar University,Qatar,Submitting Institution
118,UREP20-152-2-041,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
119,UREP20-152-2-041,Occidental Petroleum of Qatar Ltd,Qatar,Collaborative Institution
120,UREP20-145-2-039,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
121,UREP20-141-1-030,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
122,UREP20-132-1-023,Qatar University,Qatar,Submitting Institution
123,UREP20-123-2-032,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
124,UREP20-121-5-027,Northwestern University in Qatar,Qatar,Submitting Institution
125,UREP20-119-1-021,Qatar University,Qatar,Submitting Institution
126,UREP20-118-5-025,Qatar University,Qatar,Submitting Institution
127,UREP20-116-1-020,Qatar University,Qatar,Submitting Institution
128,UREP20-116-1-020,Hamad Bin Khalifa University,Qatar,Collaborative Institution
129,UREP20-103-1-018,Qatar University,Qatar,Submitting Institution
130,UREP20-100-5-015,Qatar University,Qatar,Submitting Institution
131,UREP20-093-3-028,Qatar University,Qatar,Submitting Institution
132,UREP20-093-3-028,Hamad Medical Corporation,Qatar,Collaborative Institution
133,UREP20-088-3-026,University of Calgary - Qatar,Qatar,Submitting Institution
134,UREP20-088-3-026,Hamad Medical Corporation,Qatar,Collaborative Institution
135,UREP20-081-6-008,Qatar University,Qatar,Submitting Institution
136,UREP20-079-3-023,Qatar University,Qatar,Submitting Institution
137,UREP20-070-1-015,Qatar University,Qatar,Submitting Institution
138,UREP20-070-1-015,Hamad Medical Corporation,Qatar,Collaborative Institution
139,UREP20-069-2-017,Qatar University,Qatar,Submitting Institution
140,UREP20-065-2-013,Qatar University,Qatar,Submitting Institution
141,UREP20-063-1-014,Qatar University,Qatar,Submitting Institution
142,UREP20-051-3-012,Qatar University,Qatar,Submitting Institution
143,UREP20-051-3-012,University of Bristol,United Kingdom,Collaborative Institution
144,UREP20-048-3-010,Qatar University,Qatar,Submitting Institution
145,UREP20-048-3-010,Hamad Medical Corporation,Qatar,Collaborative Institution
146,UREP20-046-1-013,Qatar University,Qatar,Submitting Institution
147,UREP20-043-2-010,Qatar University,Qatar,Submitting Institution
148,UREP20-043-2-010,Ashghal - Public Works Authority,Qatar,Collaborative Institution
149,UREP20-041-5-008,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
150,UREP20-038-3-008,University of Calgary - Qatar,Qatar,Submitting Institution
151,UREP20-038-3-008,Hamad Medical Corporation,Qatar,Collaborative Institution
152,UREP20-032-2-008,Qatar University,Qatar,Submitting Institution
153,UREP20-028-1-011,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
154,UREP20-020-3-003,Qatar University,Qatar,Submitting Institution
155,UREP20-019-1-006,Qatar University,Qatar,Submitting Institution
156,UREP20-019-1-006,Sidra Medicine,Qatar,Collaborative Institution
157,UREP20-007-6-002,University of Calgary - Qatar,Qatar,Submitting Institution
158,UREP20-006-2-002,Qatar University,Qatar,Submitting Institution
159,UREP19-230-1-044,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
160,UREP19-229-5-050,Northwestern University in Qatar,Qatar,Submitting Institution
161,UREP19-220-2-069,Hamad Bin Khalifa University,Qatar,Submitting Institution
162,UREP19-220-2-069,Texas A&amp;M University at Qatar,Qatar,Collaborative Institution
163,UREP19-218-5-046,Qatar University,Qatar,Submitting Institution
164,UREP19-215-5-044,Qatar University,Qatar,Submitting Institution
165,UREP19-209-1-037,Qatar University,Qatar,Submitting Institution
166,UREP19-195-3-041,Qatar University,Qatar,Submitting Institution
167,UREP19-195-3-041,Hamad Medical Corporation,Qatar,Collaborative Institution
168,UREP19-189-3-037,Qatar University,Qatar,Submitting Institution
169,UREP19-181-5-041,Qatar University,Qatar,Submitting Institution
170,UREP20-101-2-029,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
171,UREP20-101-2-029,Qatar University,Qatar,Collaborative Institution
172,UREP19-171-1-031,Qatar University,Qatar,Submitting Institution
173,UREP19-155-5-030,Northwestern University in Qatar,Qatar,Submitting Institution
174,UREP19-155-5-030,Hamad Bin Khalifa University,Qatar,Collaborative Institution
175,UREP19-152-1-026,Qatar University,Qatar,Submitting Institution
176,UREP19-149-1-025,Qatar University,Qatar,Submitting Institution
177,UREP19-136-1-023,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
178,UREP19-110-1-014,Qatar University,Qatar,Submitting Institution
179,UREP19-128-5-024,Qatar University,Qatar,Submitting Institution
180,UREP19-115-5-016,Qatar University,Qatar,Submitting Institution
181,UREP19-108-1-012,Qatar University,Qatar,Submitting Institution
182,UREP19-108-1-012,Kahramaa,Qatar,Collaborative Institution
183,UREP19-100-1-011,Qatar University,Qatar,Submitting Institution
184,UREP19-097-3-027,University of Calgary - Qatar,Qatar,Submitting Institution
185,UREP19-091-5-014,Qatar University,Qatar,Submitting Institution
186,UREP19-083-2-040,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
187,UREP19-078-2-037,Qatar University,Qatar,Submitting Institution
188,UREP19-071-3-021,Qatar University,Qatar,Submitting Institution
189,UREP19-069-2-031,Qatar University,Qatar,Submitting Institution
190,UREP19-062-2-026,Qatar University,Qatar,Submitting Institution
191,UREP19-062-2-026,Hamad Medical Corporation,Qatar,Collaborative Institution
192,UREP19-047-3-016,University of Calgary - Qatar,Qatar,Submitting Institution
193,UREP19-047-3-016,Hamad Medical Corporation,Qatar,Collaborative Institution
194,UREP19-042-2-016,Qatar University,Qatar,Submitting Institution
195,UREP19-038-2-015,Qatar University,Qatar,Submitting Institution
196,UREP19-033-3-010,Qatar University,Qatar,Submitting Institution
197,UREP19-032-2-013,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
198,UREP19-029-5-007,Qatar University,Qatar,Submitting Institution
199,UREP19-028-2-012,Qatar University,Qatar,Submitting Institution
200,UREP19-017-2-007,Qatar University,Qatar,Submitting Institution
201,UREP19-013-3-001,Qatar University,Qatar,Submitting Institution
202,UREP19-010-2-004,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
203,UREP19-003-4-001,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
204,UREP18-195-5-057,Qatar University,Qatar,Submitting Institution
205,UREP18-177-1-021,Qatar University,Qatar,Submitting Institution
206,UREP18-172-2-070,Qatar University,Qatar,Submitting Institution
207,UREP18-170-4-003,Qatar University,Qatar,Submitting Institution
208,UREP18-162-2-065,Qatar University,Qatar,Submitting Institution
209,UREP18-161-2-064,Qatar University,Qatar,Submitting Institution
210,UREP18-160-5-045,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
211,UREP18-159-5-044,Qatar University,Qatar,Submitting Institution
212,UREP18-157-5-043,Qatar University,Qatar,Submitting Institution
213,UREP18-156-2-063,Qatar University,Qatar,Submitting Institution
214,UREP18-150-5-041,Qatar University,Qatar,Submitting Institution
215,UREP18-148-6-003,Qatar University,Qatar,Submitting Institution
216,UREP18-146-2-060,Qatar University,Qatar,Submitting Institution
217,UREP18-144-2-058,Qatar University,Qatar,Submitting Institution
218,UREP18-144-2-058,CEG International,Qatar,Collaborative Institution
219,UREP18-141-2-055,Qatar University,Qatar,Submitting Institution
220,UREP18-140-2-054,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
221,UREP18-140-2-054,Hamad Bin Khalifa University,Qatar,Collaborative Institution
222,UREP18-140-2-054,Waseda University,Japan,Collaborative Institution
223,UREP18-139-5-038,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
224,UREP18-134-3-029,University of Calgary - Qatar,Qatar,Submitting Institution
225,UREP18-133-5-035,Qatar University,Qatar,Submitting Institution
226,UREP18-129-2-053,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
227,UREP18-126-3-026,Qatar University,Qatar,Submitting Institution
228,UREP18-126-3-026,Anti-Doping Laboratory Qatar,Qatar,Collaborative Institution
229,UREP18-124-2-051,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
230,UREP18-108-2-045,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
231,UREP18-107-1-013,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
232,UREP18-102-2-042,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
233,UREP18-099-2-040,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
234,UREP18-087-2-033,Qatar University,Qatar,Submitting Institution
235,UREP18-079-5-024,Qatar University,Qatar,Submitting Institution
236,UREP18-070-5-020,Qatar University,Qatar,Submitting Institution
237,UREP18-060-3-016,Qatar University,Qatar,Submitting Institution
238,UREP18-055-3-012,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
239,UREP18-054-2-020,Qatar University,Qatar,Submitting Institution
240,UREP18-050-5-013,Ahmed Bin Mohamed Military College - Qatar,Qatar,Submitting Institution
241,UREP18-048-1-008,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
242,UREP18-033-3-010,Qatar University,Qatar,Submitting Institution
243,UREP18-033-3-010,Hamad Medical Corporation,Qatar,Collaborative Institution
244,UREP18-002-1-001,Qatar University,Qatar,Submitting Institution
245,UREP18-001-3-001,Qatar University,Qatar,Submitting Institution
246,UREP17-198-5-059,Northwestern University in Qatar,Qatar,Submitting Institution
247,UREP17-192-5-056,Northwestern University in Qatar,Qatar,Submitting Institution
248,UREP17-191-3-032,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
249,UREP17-188-4-011,Qatar University,Qatar,Submitting Institution
250,UREP17-179-5-053,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
251,UREP17-172-2-052,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
252,UREP17-172-2-052,Oryx GTL,Qatar,Collaborative Institution
253,UREP17-161-2-047,Qatar University,Qatar,Submitting Institution
254,UREP17-157-2-045,Qatar University,Qatar,Submitting Institution
255,UREP17-151-2-044,Qatar University,Qatar,Submitting Institution
256,UREP17-151-2-044,Texas A&amp;M University at Qatar,Qatar,Collaborative Institution
257,UREP17-138-2-037,Qatar University,Qatar,Submitting Institution
258,UREP17-133-2-034,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
259,UREP17-128-2-030,Qatar University,Qatar,Submitting Institution
260,UREP17-095-2-021,Qatar University,Qatar,Submitting Institution
261,UREP17-089-5-028,Qatar University,Qatar,Submitting Institution
262,UREP17-076-1-008,Qatar University,Qatar,Submitting Institution
263,UREP17-076-1-008,ExxonMobil Research Qatar,Qatar,Collaborative Institution
264,UREP17-075-1-007,Qatar University,Qatar,Submitting Institution
265,UREP17-075-1-007,Ministry of Municipality and Environment (MME),Qatar,Collaborative Institution
266,UREP17-073-1-006,Qatar University,Qatar,Submitting Institution
267,UREP17-070-3-019,Qatar University,Qatar,Submitting Institution
268,UREP17-070-3-019,Hamad Medical Corporation,Qatar,Collaborative Institution
269,UREP17-069-3-018,Qatar University,Qatar,Submitting Institution
270,UREP17-066-1-004,Qatar University,Qatar,Submitting Institution
271,UREP17-066-1-004,Hamad Bin Khalifa University,Qatar,Collaborative Institution
272,UREP17-065-2-019,Qatar University,Qatar,Submitting Institution
273,UREP17-062-5-018,Qatar University,Qatar,Submitting Institution
274,UREP17-061-2-017,Qatar University,Qatar,Submitting Institution
275,UREP17-057-5-017,Ahmed Bin Mohamed Military College - Qatar,Qatar,Submitting Institution
276,UREP17-049-6-004,Qatar University,Qatar,Submitting Institution
277,UREP17-047-2-015,Qatar University,Qatar,Submitting Institution
278,UREP17-045-3-012,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
279,UREP17-044-3-011,Qatar University,Qatar,Submitting Institution
280,UREP17-044-3-011,Qatar Olympic Committe,Qatar,Collaborative Institution
281,UREP17-043-3-010,University of Calgary - Qatar,Qatar,Submitting Institution
282,UREP17-043-3-010,Hamad Medical Corporation,Qatar,Collaborative Institution
283,UREP17-031-3-007,University of Calgary - Qatar,Qatar,Submitting Institution
284,UREP17-031-3-007,Primary Health Care Corporation,Qatar,Collaborative Institution
285,UREP17-025-2-009,Qatar University,Qatar,Submitting Institution
286,UREP17-018-4-001,Qatar University,Qatar,Submitting Institution
287,UREP17-015-2-006,Qatar University,Qatar,Submitting Institution
288,UREP17-014-5-005,Qatar University,Qatar,Submitting Institution
289,UREP17-014-5-005,Ministry of Public Health,Qatar,Collaborative Institution
290,UREP17-007-1-001,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
291,UREP17-006-3-002,Qatar University,Qatar,Submitting Institution
292,UREP17-005-2-002,Qatar University,Qatar,Submitting Institution
293,UREP17-005-2-002,ConocoPhillips Water Technology Ltd QSTP-B,Qatar,Collaborative Institution
294,UREP 16 - 164 - 1 - 02,Qatar University,Qatar,Submitting Institution
295,UREP 16 - 156 - 1 - 02,Qatar University,Qatar,Submitting Institution
296,UREP 16 - 149 - 6 - 014,Virginia Commonwealth University in Qatar (VCUQatar),Qatar,Submitting Institution
297,UREP 16 - 149 - 6 - 014,Weill Cornell Medical College in Qatar,Qatar,Collaborative Institution
298,UREP 16 - 147 - 1 - 02,Qatar University,Qatar,Submitting Institution
299,UREP 16 - 145 - 3 - 03,Qatar University,Qatar,Submitting Institution
300,UREP 16 - 144 - 5 - 04,Qatar University,Qatar,Submitting Institution
301,UREP 16 - 142 - 3 - 029,Qatar University,Qatar,Submitting Institution
302,UREP 16 - 142 - 3 - 029,Hamad Medical Corporation,Qatar,Collaborative Institution
303,UREP 16 - 132 - 1 - 020,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
304,UREP 16 - 131 - 5 - 03,Qatar University,Qatar,Submitting Institution
305,UREP 16 - 124 - 5 - 036,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
306,UREP 16 - 121 - 5 - 033,Ahmed Bin Mohamed Military College - Qatar,Qatar,Submitting Institution
307,UREP 16 - 120 - 5 - 032,Georgetown University School of Foreign Service in Qatar,Qatar,Submitting Institution
308,UREP 16 - 116 - 2 - 03,Qatar University,Qatar,Submitting Institution
309,UREP 16 - 113 - 1 - 01,Qatar University,Qatar,Submitting Institution
310,UREP 16 - 093 - 2 - 025,Qatar University,Qatar,Submitting Institution
311,UREP 16 - 093 - 2 - 025,Kahramaa,Qatar,Collaborative Institution
312,UREP 16 - 089 - 3 - 020,University of Calgary - Qatar,Qatar,Submitting Institution
313,UREP 16 - 089 - 3 - 020,Texas A&amp;M University at Qatar,Qatar,Collaborative Institution
314,UREP 16 - 087 - 3 - 019,Northwestern University in Qatar,Qatar,Submitting Institution
315,UREP 16 - 078 - 2 - 02,Qatar University,Qatar,Submitting Institution
316,UREP 16 - 075 - 2 - 020,Qatar University,Qatar,Submitting Institution
317,UREP 16 - 075 - 2 - 020,Hamad Medical Corporation,Qatar,Collaborative Institution
318,UREP 16 - 068 - 2 - 01,Qatar University,Qatar,Submitting Institution
319,UREP 16 - 063 - 2 - 010,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
320,UREP 16 - 060 - 5 - 02,Qatar University,Qatar,Submitting Institution
321,UREP 16 - 049 - 5 - 01,Qatar University,Qatar,Submitting Institution
322,UREP 16 - 048 - 2 - 00,Qatar University,Qatar,Submitting Institution
323,UREP 16 - 044 - 1 - 00,Qatar University,Qatar,Submitting Institution
324,UREP 16 - 024 - 2 - 003,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
325,UREP 16 - 024 - 2 - 003,Schlumberger Qatar,Qatar,Collaborative Institution
326,UREP 16 - 020 - 6 - 00,Qatar University,Qatar,Submitting Institution
327,UREP 16 - 018 - 3 - 007,University of Calgary - Qatar,Qatar,Submitting Institution
328,UREP 16 - 012 - 3 - 003,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
329,UREP 16 - 012 - 3 - 003,Hamad Medical Corporation,Qatar,Collaborative Institution
330,UREP 16 - 011 - 5 - 00,Qatar University,Qatar,Submitting Institution
331,UREP 16 - 007 - 5 - 003,Ahmed Bin Mohamed Military College - Qatar,Qatar,Submitting Institution
332,UREP 16 - 003 - 6 - 00,Qatar University,Qatar,Submitting Institution
333,UREP 16 - 002 - 2 - 00,Qatar University,Qatar,Submitting Institution
334,UREP 15 - 148 - 2 - 04,Qatar University,Qatar,Submitting Institution
335,UREP 15 - 131 - 2 - 04,Qatar University,Qatar,Submitting Institution
336,UREP 15 - 124 - 5 - 03,Qatar University,Qatar,Submitting Institution
337,UREP 15 - 121 - 6 - 00,Qatar University,Qatar,Submitting Institution
338,UREP 15 - 119 - 1 - 01,Qatar University,Qatar,Submitting Institution
339,UREP 15 - 107 - 6 - 00,Qatar University,Qatar,Submitting Institution
340,UREP 15 - 085 - 3 - 02,Qatar University,Qatar,Submitting Institution
341,UREP 15 - 084 - 2 - 031,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
342,UREP 15 - 083 - 2 - 030,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
343,UREP 15 - 080 - 1 - 006,Weill Cornell Medical College in Qatar,Qatar,Submitting Institution
344,UREP 15 - 075 - 2 - 027,Qatar University,Qatar,Submitting Institution
345,UREP 15 - 075 - 2 - 027,Texas A&amp;M University at Qatar,Qatar,Collaborative Institution
346,UREP 15 - 072 - 2 - 026,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
347,UREP 15 - 072 - 2 - 026,Halliburton Worldwide Limited,Qatar,Collaborative Institution
348,UREP 15 - 071 - 2 - 02,Qatar University,Qatar,Submitting Institution
349,UREP 15 - 069 - 2 - 02,Qatar University,Qatar,Submitting Institution
350,UREP 15 - 065 - 3 - 01,Qatar University,Qatar,Submitting Institution
351,UREP 15 - 058 - 3 - 01,Qatar University,Qatar,Submitting Institution
352,UREP 15 - 056 - 2 - 018,Qatar University,Qatar,Submitting Institution
353,UREP 15 - 056 - 2 - 018,Qatalum,Qatar,Collaborative Institution
354,UREP 15 - 052 - 5 - 018,Ahmed Bin Mohamed Military College - Qatar,Qatar,Submitting Institution
355,UREP 15 - 050 - 2 - 016,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
356,UREP 15 - 049 - 6 - 00,Qatar University,Qatar,Submitting Institution
357,UREP 15 - 047 - 2 - 01,Qatar University,Qatar,Submitting Institution
358,UREP 15 - 043 - 1 - 00,Qatar University,Qatar,Submitting Institution
359,UREP 15 - 042 - 2 - 014,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
360,UREP 15 - 042 - 2 - 014,Qatar University,Qatar,Collaborative Institution
361,UREP 15 - 039 - 3 - 011,Qatar University,Qatar,Submitting Institution
362,UREP 15 - 039 - 3 - 011,Weill Cornell Medical College in Qatar,Qatar,Collaborative Institution
363,UREP 15 - 039 - 3 - 011,Hamad Medical Corporation,Qatar,Collaborative Institution
364,UREP 15 - 035 - 5 - 013,Northwestern University in Qatar,Qatar,Submitting Institution
365,UREP 15 - 035 - 5 - 013,College of the North Atlantic - Qatar,Qatar,Collaborative Institution
366,UREP 15 - 035 - 5 - 013,Qatar University,Qatar,Collaborative Institution
367,UREP 15 - 035 - 5 - 013,Texas A&amp;M University at Qatar,Qatar,Collaborative Institution
368,UREP 15 - 031 - 2 - 009,Texas A&amp;M University at Qatar,Qatar,Submitting Institution
369,UREP 15 - 024 - 2 - 005,Qatar University,Qatar,Submitting Institution
