Proposal Number:,type,pub_title,authors,reference_no
NPRP 5 - 1272 - 1 - 214,Conference Paper,A Pub/Sub Extension to NDN for Efficient Data Collection and Dissemination in V2X Networks,"Wassim Drira, Fethi Filali",DOI:10.1109/WoWMoM.2014.6918991
NPRP 5 - 1272 - 1 - 214,Conference Paper,Innovative Data Collection and Dissemination in V2X Networks,"Wassim Drira, Fethi Filali",DOI:10.5339/qfarc.2014.ITOP0788
NPRP 5 - 1272 - 1 - 214,Conference Paper,VNetIntSim: An Integrated Simulation Platform to Model Transportation and Communication Networks,"Ahmed Elbery, Hesham Rakha, Mustafa Y. ElNainay , Mohammad A. Hoque",DOI:10.1000/VEHITS.2015.000001
NPRP 5 - 1272 - 1 - 214,Journal Paper,Development and Testing of a 3G/LTE Adaptive Data Collection System in Vehicular Networks,"Wassim Drira, Kyoungho Ahn, Hesham Rakha, Fethi Filali",ISSN:15249050
NPRP 5 - 1272 - 1 - 214,Conference Paper,Eco-Routing Using V2I Communication: System Evaluation,"Ahmed Elbery, Hesham Rakha, Mustafa Elnainay, Wassim Drira, Fethi Filali",DOI:10.1109/ITSC.2015.20
NPRP 5 - 1272 - 1 - 214,Journal Paper,Development and Testing of a 3G/LTE Adaptive Data Collection System in Vehicular Networks,"Wassim Drira, Kyoungho Ahn, Hesham Rakha, Fethi. Filali",ISSN:1524-9050
NPRP 5 - 1272 - 1 - 214,Conference Paper,Sensitivity Analysis of Eco-Cooperative Adaptive Cruise Control at Signalized Intersections,"Mani Venkat Ala,  Hao Yang,  Hesham Rakha,",DOI:10.0000/TRB.2016.00
NPRP 5 - 1272 - 1 - 214,Conference Paper,Eco-Routing: An Ant Colony Based Approach,"Ahmed Elbery, Hesham Rakha, Mustafa Y. ElNainay, Wassim Drira, Fethi Filali",DOI:10.0000/VEHITS.2016.00
NPRP 5 - 1272 - 1 - 214,Conference Paper,VALS: Vehicle-Aided Location Service in Urban Environment,"Raik Aissaoui Amine Dhraief, Abdelfettah Belghith, Hamid Menouar, Fethi Filali, and Hassan Mathkour,",DOI:10.0000/WCNC.2016.00
NPRP 5 - 1272 - 1 - 214,Conference Paper,A Modeling Evaluation of Eco-Cooperative Adaptive Cruise Control in the Vicinity of Signalized Intersection,"Mani Venkat Ala, Hao Yang, Hesham Rakha",DOI:10.0000/TRB.2016.01
NPRP 5 - 1272 - 1 - 214,Conference Paper,Eco-Routing: An Ant Colony Based Approach,"Ahmed Elbery, Hesham Rakha, Mustafa, Y. ElNainay, Wassim Drira, Fethi Filali",DOI:10.0000/VEHITS.2016.01
NPRP 5 - 126 - 1 - 030,Journal Paper,High levels of molybdenum in Qatar's groundwater and potential impacts,"Nora Kuiper, Candace Rowell, Basem Shomar",ISSN:03756742
NPRP 5 - 126 - 1 - 030,Journal Paper,Potential health impacts of consuming desalinated bottled water,"Candace Rowell, Nora Kuiper and Basem Shomar",ISSN:12345678
NPRP 5 - 1255 - 2 - 549,,,,
NPRP 5 - 1232 - 2 - 535,,,,
NPRP 5 - 1201 - 5 - 179,Journal Paper,Cross-Cultural Adaptation of a Developmental Assessment for Arabic Speaking Children With Visual Impairment,"Macrine, S.L,  Heiji, H., Sebry, A; and Dalton, S",ISSN:00000000
NPRP 5 - 1201 - 5 - 179,Online Paper,Cross-Cultural Adaptation of a Developmental Assessment for Arabic-Speaking Children With Visual Impairment,"Sheila L. Macrine*, Hayat Heji, Amel Sabri &amp; Sara Dalton",DOI:    10.1080/21683603.2015.1082523
NPRP 5 - 1191 - 5 - 177,,,,
NPRP 5 - 1177 - 5 - 174,,,,
NPRP 5 - 117 - 3 - 028,Journal Paper,Electrical Stimulation as an Adjunctive Treatment of Painful and Sensory Diabetic Neuropathy,"Gaurav Thakral, Paul J. Kim, Javier LaFontaine, Robert Menzies, Bijan Najafi, and Lawrence A. Lavery, D.P.M., M.P.H.1",ISSN:19322968
NPRP 5 - 117 - 3 - 028,Journal Paper,"Treatment Options for Venous Leg Ulcers: Effectiveness of Vascular Surgery, Bioengineered Tissue, and Electrical Stimulation","Gaurav Thakral, Javier La Fontaine, Paul Kim, Bijan Najafi,;
Adam Nichols, and Lawrence A. Lavery",ISSN:15388654
NPRP 5 - 117 - 3 - 028,Conference Paper,Improving Balance in Patients with Diabetic Peripheral Neuropathy Using Electrical Stimulation,"Gurtej Grewal, Jacqueline Lee-Eng, Robert Menzies, Talal Talalm Lawrence Lavery, David G. Armstrong, Bijan Najafi",DOI:10.1111/jgs.13318
NPRP 5 - 117 - 3 - 028,Conference Paper,Changes in postural balance as an effect of plantar foot stimulation in patients with diabetic peripheral neuropathy,"Gurtej S Grewal, PhD1; Saman Parvaneh, PhD1; Jacqueline Lee-Eng, BS1 Robert Menzies, MSc2; Talal K Talal, DPM2; Lawrence Lavery, DPM, MPH3,  David G. Armstrong, DPM, MD PhD1; Bijan Najafi, PhD 1;",DOI:10.7547
NPRP 5 - 117 - 3 - 028,Conference Paper,Effect of a therapeutic stimulation device on postural balance in patients with diabetic peripheral neuropathy Poster session: Neuropathy,"Gurtej S Grewal, PhD1; Saman Parvaneh, PhD1; Jacqueline Lee-Eng, BS1 Robert Menzies, MSc2; Talal K Talal, DPM2; Lawrence Lavery, DPM, MPH3,  David G. Armstrong, DPM, MD PhD1; Bijan Najafi, PhD 1;",DOI:10.0000/ISDF
NPRP 5 - 117 - 3 - 028,Online Paper,IMPROVING BALANCE IN PATIENTS WITH DIABETIC PERIPHERAL NEUROPATHY USING ELECTRICAL STIMULATION,"G Grewal, J Lee-Eng, R Menzies, TK Talal, L Lavery, DG Armstrong, B Najafi",DOI:10.1093/geront/gnv449.20
NPRP 5 - 117 - 3 - 028,Journal Paper,Current concepts in the surgical management of acute diabetic foot infections,"Javier La Fontaine, Kavita Bhavan, Talal K. Talal, Lawrence A. Lavery",ISSN:09582592
NPRP 5 - 117 - 3 - 028,Journal Paper,Using Plantar Electrical Stimulation to Improve Postural Balance and Plantar Sensation Among Patients With Diabetic Peripheral Neuropathy: A Randomized Double Blinded Study,"Bijan Najafi, Talal K. Talal, 
Gurtej Singh Grewal, Robert Menzies, 
David G. Armstrong, 
and Lawrence A. Lavery",ISSN:19322968
NPRP 5 - 117 - 3 - 028,Online Paper,Using Plantar Electrical Stimulation to Improve Postural Balance and Plantar Sensation Among Patients With Diabetic Peripheral Neuropathy,"Bijan Najafi-author-first, Talal K. Talal-author-additional, Gurtej Singh Grewal-author-additional, Robert Menzies-author-additional, David G. Armstrong-author-additional, Lawrence A. Lavery-author-additional",DOI:10.1177/1932296817695338
NPRP 5 - 1141 - 1 - 198,Journal Paper,Population structure of marine turtles in coastal waters of Qatar,"Pilcher N., Al-Maslamani I., Williams J., Gasang R., Chikhi A.",ISSN:16134796
NPRP 5 - 1134 - 3 - 240,Online Paper,Understanding The Terminology Used To Describe Bullying Acts In Qatar   Read More: http://www.qscience.com/doi/abs/10.5339/qfarc.2014.SSPP1155,"Muthanna Samara, Mahitab Sherif, Jon Perkins, Hisham Morsi, Azhar Omar Al Rawas &amp; Aiman El Asam",DOI:10.5339/qfarc.2014.SSPP1155
NPRP 5 - 1134 - 3 - 240,Online Paper,A Review Of Cyberbullying Legislation In Qatar: Considerations For Policy Makers And Educators,"Mairead Foody, Muthanna Samara, Aiman El Asam, Hisham Morsi and Azhar Khattab",DOI:10.5339/qfarc.2014.SSPP0681
NPRP 5 - 1134 - 3 - 240,Online Paper,Parenting behavior and the risk of becoming a victim and a bully/victim: A meta-analysis study,,DOI:10.1016/j.chiabu.2013.03.001
NPRP 5 - 1134 - 3 - 240,Journal Paper,A review of cyberbullying and suggestions for online psychological therapy,"Mairéad Foodya, Muthanna Samara and Per Carlbring",ISSN:22147829
NPRP 5 - 1134 - 3 - 240,Journal Paper,A review of cyberbullying legislation in Qatar : considerations for policy makers and educators,"Foody, Mairead, Samara, Muthanna, El Asam, Aiman, Morsi, Hisham and Khattab, Azhar",ISSN:01602527
NPRP 5 - 1134 - 3 - 240,Journal Paper,Cyberbullying and the law: A review of psychological and legal challenges,"Aiman El Asam, Muthanna Samara",ISSN:07475632
NPRP 5 - 1134 - 3 - 240,Journal Paper,Bullying and cyberbullying studies in the school-aged population on the island of Ireland : a meta-analysis,"Mairead Foody, Muthanna Samara and James O’Higgins Norman",ISSN:20448279
NPRP 5 - 1134 - 3 - 240,Journal Paper,Considering mindfulness techniques in school-based anti-bullying programmes,Mairéad Foody &amp; Muthanna Samara,ISSN:22547339
NPRP 5 - 1134 - 3 - 240,Online Paper,Bullying and Cyberbullying: Their Legal Status and Use in Psychological Assessment,"Muthanna Samara-author-first, Vicky Burbidge-author-additional, Aiman El Asam-author-additional, Mairéad Foody-author-additional, Peter Smith-author-additional, Hisham Morsi-author-additional",DOI:10.3390/ijerph14121449
NPRP 5 - 1121 - 1 - 194,,,,
NPRP 5 - 1109 - 6 - 031,,,,
NPRP 5 - 1080 - 1 - 186,Conference Paper,On the Performance Comparison between IEEE 802.11p and LTE-based Vehicular Networks,Zeeshan Hameed Mir and Fethi Filali,DOI:10.1186/1687-1499-2014-89
NPRP 5 - 1080 - 1 - 186,Journal Paper,LTE and IEEE 802.11p for vehicular networking: a performance evaluation,Zeeshan Hameed Mir and Fethi Filali,ISSN:16871499
NPRP 5 - 1080 - 1 - 186,Conference Paper,Physical Layer Performance Comparison of LTE and IEEE 802.11p for Vehicular Communication in an Urban NLOS Scenario,"Andreas Möller, Jörg Nuckelt, Dennis M. Rose, Thomas Kürner",DOI:10.1109/VTCFall.2014.6966129
NPRP 5 - 1080 - 1 - 186,Conference Paper,Realistic Simulation Scenario for Hybrid LTE/IEEE 802.11p Vehicular Communication,"Andreas Möller, Johannes Baumgarten, Zeeshan Hameed Mir, Fethi Filali, Thomas Kürner",DOI:10.1109/EuCAP.2015.1000000
NPRP 5 - 1080 - 1 - 186,Conference Paper,QoS-Aware Radio Access Technology (RAT) Selection in Hybrid Vehicular Networks,"Zeeshan Hameed Mir, Jamal Toutouh, Fethi Filali, and Enrique Alba",DOI:10.1007/978-3-319-17765-6-11
NPRP 5 - 1080 - 1 - 186,Conference Paper,Improved Multi-hop Routing in Integrated VANET-LTE Hybrid Vehicular Networks,"Zeeshan Hameed Mir, Jaebeom Kim, Young-Bae Ko and Fethi Filali",DOI:10.1145/2857546.2857624
NPRP 5 - 1080 - 1 - 186,Conference Paper,Simulation and Performance Evaluation of Vehicle-to-Vehicle (V2V) Propagation Model in Urban Environment,Zeeshan Hameed Mir and Fethi Filali,DOI:10.1109/ISMS.2016.00
NPRP 5 - 1080 - 1 - 186,Conference Paper,Infrastructure-assisted Efficient Broadcasting in Hybrid Vehicular Networks,"Zeeshan Hameed Mir, Jaebeom Kim, Fethi Filali and Young-Bae Ko",DOI:10.1109/ICCVE.2015
NPRP 5 - 1080 - 1 - 186,Conference Paper,LTE Link Level Performance Evaluation Using Stochastic Channel Models for V2X Communication,"Andreas Moller, Thomas Kurner",DOI:10.1109/VNC.2015.7385542
NPRP 5 - 1070 - 2 - 451,Book,Alice,Huda Gedawy and Saquib Razak,ISBN:None assigned at this time
NPRP 5 - 1070 - 2 - 451,Conference Paper,Alice in UK. An Alice Based Implementation of UK National Computing Curriculum,"Saquib Razak, Huda Gedawy, Wanda Dann, Don Slater, Nour Tabet",DOI:10.5176/2251-2195_CSEIT15.10
NPRP 5 - 1070 - 2 - 451,Conference Paper,Alice in the Middle East: An Experience Report from the Formative Phase,"Saquib Razak 		
Huda Gedawy 	
Wanda P. Dann
Donald J. Slater",DOI:10.1145/2839509.2844593
NPRP 5 - 1070 - 2 - 451,Conference Paper,From Alice to Python. Introducing Text-based Programming in Middle Schools,"Nour Tabet, Huda Gedawy, Hanan Alshikhabobakr, Saquib Razak",DOI:10.1145/2899415.2899462
NPRP 5 - 1070 - 2 - 451,Conference Paper,Computing Curriculum in Middle Schools - An Experience Report,"Samah Al Sabbagh
Huda Gedawy
Hanan Alshikhabobakr
Saquib Razak",DOI:10.1145/3059009.3059012
NPRP 5 - 106 - 3 - 025,Online Paper,Study exploring depression and cardiovascular diseases amongst Arabic speaking patients living in the State of Qatar: Rationale and methodology,"Tam Truong Donnelly 1, Jassim Al Suwaidi 2, Awad Alqahtani 2, Nidal Assad 1, Najla Abdul Qader 1, Carolyn Byrne 1, Rajvir Singh 2, Tak Shing Fung 1",DOI:10.5339/gcsp.2012.24
NPRP 5 - 106 - 3 - 025,Journal Paper,Study exploring Depresion and Cardiovascular Diseases amongst Arabic patients living in the State of Qatar: Rationale and Methodology,"Tam Truong Donnelly, Jassim M Al Suwaidi, Awad Alqahtani, Nidal Assad, Najla Abdul Qader, Carolyn Byrne, Rajvir Singh, Tak Shing Fung",ISSN:NA
NPRP 5 - 106 - 3 - 025,Journal Paper,Depression in cardiovascular patients in the Middle Eastern populations.,"Donnelly TT, Al Suwaidi JM, Alqahtani A, Assad N, Qader NA, Singh R, Fung TS, Mueed I, El Banna N, Sharara S.",ISSN:01675273
NPRP 5 - 106 - 3 - 025,Journal Paper,Depression in cardiovascular patients in the Middle Eastern populations.,"Donnelly TT, Al Suwaidi JM, Alqahtani A, Assad N, Qader NA, Singh R, Fung TS, Mueed I, El Banna N, Sharara S.",ISSN:23972965
NPRP 5 - 106 - 3 - 025,Journal Paper,ression in Cardiovascular Patients in Middle Eastern Populations: A Literature Review.,"Donnelly TT, Al Suwaidi JM, Al-Qahtani A, Asaad N, Qader NA, Singh R, Fung TS, Mueed I, Sharara S, El Banna N, Omar S.",ISSN:24923859
NPRP 5 - 106 - 3 - 025,Journal Paper,Depression Among Cardiovascular Patients Living in a Middle Eastern Country - Preliminary findings from a cross-sectional survey.,"Donnelly TT, Al Suwaidi JM, Al-Qahtani A, Asaad N, Abdul Qader N, Singh R, Fung TS, Mueed I, Sharara S, El Banna N, Omar S.",ISSN:25125016
NPRP 5 - 106 - 3 - 025,Journal Paper,Association between Socioeconomic Factors and Depression among Cardiovascular Patients Living in Rich Resourced Middle Eastern Country,"Donnelly, T.T., Al Suwaidi, J., Alqahtani, A., Asaad, N., Fung, T.S., Singh, R., Abdul Qader, N.",ISSN:01675273
NPRP 5 - 106 - 3 - 025,Journal Paper,Study exploring depression and cardiovascular diseases amongst Arabic speaking patients living in the State of Qatar: Rationale and methodology.,"Donnelly, T.T., Al Suwaidi, J., Alqahtani, A., Asaad, N., Abdul Qader, N., Byrne, C., Singh, R., &amp; Fung, T.S.",ISSN:23057823
NPRP 5 - 106 - 3 - 025,Journal Paper,Depression in Cardiovascular Patients in the Middle Eastern Populations,"Donnelly, T.T., Al Suwaidi, J., Alqahtani, A., Asaad, N., Abdul Qader, N., Singh, R., Fung, T.S., Mueed, M., El Banna, N., &amp; Sharara, S.",ISSN:01675273
NPRP 5 - 106 - 3 - 025,Journal Paper,Depression in cardiovascular patients in Middle Eastern populations: A literature review,"Donnelly, T.T., Al Suwaidi, J., Alqahtani, A., Asaad, N., Abdul Qader, N., Singh, R., Fung, T.S., Mueed, M., Sharara, S., El Banna, N., &amp; Omar, S.",ISSN:15571920
NPRP 5 - 106 - 3 - 025,Journal Paper,Depression Among Cardiovascular Patients Living in a Middle Eastern Country - Preliminary findings from a cross-sectional survey,"Donnelly, T.T., Al Suwaidi, J., Alqahtani, A., Asaad, N., Abdul Qader, N., Singh, R., Fung, T.S., Mueed, M., Sharara, S., El Banna, N., &amp; Omar, S.",ISSN:01675273
NPRP 5 - 106 - 3 - 025,Journal Paper,Mood disturbance and depression in Arab women following hospitalisation from acute cardiac conditions – a cross sectional study from Qatar,"Donnelly, T.T., Al Suwaidi, J., Alqahtani, A., Asaad, N., Fung, T.S., Singh, R., Abdul Qader, N.",ISSN:20446055
NPRP 5 - 106 - 3 - 025,Journal Paper,Depression and mood disturbance among patients hospitalized with acute cardiac conditions in a Middle Eastern country,"Donnelly, T. T., Al Suwaidi, J., Alqahtani, A., Asaad, N., Abdul Qader, N., Singh, R., Fung, T.S., Mueed, M., Sharara, S., El Banna",ISSN:20488734
NPRP 5 - 1047 - 2 - 437,Journal Paper,"Designing Time Difference Learning for Interference Management in Heterogeneous Networks, Dynamic Games and Applications","A. Galindo, L. Giupponi,",ISSN:21530785
NPRP 5 - 1047 - 2 - 437,Creative Works,Self Organising Networks (SON): From Conception to Realisation,Dr. Ali Imran and Dr. Mischa Dohler,CRWO27193
NPRP 5 - 1047 - 2 - 437,Creative Works,Self Organisation of 5G Cellular Systems using Participatory Sensing,Dr. Ali Imran,CRWO27194
NPRP 5 - 1047 - 2 - 437,Creative Works,A Roadmap to Evolution of Self-Organising LTE-Advanced Cellular Networks,"Dr. Hafiz Yasar Lateef
Dr. Ali Imran",CRWO27195
NPRP 5 - 1047 - 2 - 437,Conference Paper,A framework for classification of Self-Organising network conflicts and coordination algorithms,"Hafiz Yasar Lateef, Ali Imran, Adnan Abu-dayya",DOI:10.1109/PIMRC.2013.6666642
NPRP 5 - 1047 - 2 - 437,Conference Paper,A Target-Following Regime using Similarity Measure for Coverage and Capacity Optimization in Self-Organizing Cellular Networks with Hot-Spot,"Peyvandi, Hossein ; Imran, Ali ; Imran, Muhammad Ali ; Tafazolli, Rahim",DOI:10/doiNotAvailable
NPRP 5 - 1047 - 2 - 437,Conference Paper,Effect of Inaccurate Position Estimation on Self-Organising Coverage Estimation in Cellular Networks,"Akbari, Iman; Onireti, Oluwakayode ; Imran, Muhammad Ali ; Imran, Ali ; Tafazolli, Rahim",DOI:11/doiNA
NPRP 5 - 1047 - 2 - 437,Conference Paper,Physical Layer Frame in Signalling-Data Separation Architecture: Overhead and Performance Evaluation,"Mohamed, Abdelrahim; Onireti, Oluwakayode; Qi, Yinan; Imran, Ali; Imran, Muhammed; Tafazolli, Rahim",DOI:10/doiNotApplicable
NPRP 5 - 1047 - 2 - 437,Conference Paper,On Pareto-Koopmans efficiency for performance-driven optimization in Self-Organizing Networks,"Peyvandi, H.; Imran, A.; Imran, M.A.; Tafazolli, R.,",DOI:10.1049/cp.2013.2053
NPRP 5 - 1047 - 2 - 437,Journal Paper,Self Organization of Tilts in Relay Enhanced Networks: A Distributed Solution,"Imran, A. ; Imran, M.A. ; Abu-Dayya, A. ; Tafazolli, R.",ISSN:15361276
NPRP 5 - 1047 - 2 - 437,Conference Paper,Big Data Empowered Self Organized Networks,"Baldo, Nicola; Giupponi, Lorenza ; Mangues-Bafalluy, Josep",DOI:10/NotAplicable
NPRP 5 - 1047 - 2 - 437,Conference Paper,A new channel and QoS aware scheduler to enhance the capacity of voice over LTE systems,"Bojovic, B. ;  Baldo, N.",DOI:10.1109/SSD.2014.6808890
NPRP 5 - 1047 - 2 - 437,Journal Paper,Self Organizing Cloud cells: A Resource Efficient Network Densification Strategy,"Alsedairy, Talal; Qi, Yinan; Imran, Ali; Imran, Muhammad Ali;  Evans, Barry",ISSN:21613915
NPRP 5 - 1047 - 2 - 437,Journal Paper,Challenges in 5G: how to empower SON with big data for enabling 5G,"Imran, A.; Zoha, A., Abu-Dayya, Adnan",ISSN:08908044
NPRP 5 - 1047 - 2 - 437,Conference Paper,A Reinforcement Learning Based Solution for Self-Healing in LTE Networks,"Moysen, J.; Giupponi, L.,",DOI:10.1109/VTCFall.2014.6965842
NPRP 5 - 1047 - 2 - 437,Conference Paper,A Functional Architecture for Self-Coordination in LTE networks,"Moysen, J.; Giupponi, L.,",DOI:10.1109/EWna
NPRP 5 - 1047 - 2 - 437,Conference Paper,Joint coverage and backhaul self-optimization in emerging relay enhanced heterogeneous networks,"Imran, Ali; Giupponi, Lorenza; Imran, Muhammad A; Abu-Dayya, Adnan",DOI:10.1109/ICC.2014.6883727
NPRP 5 - 1047 - 2 - 437,Conference Paper,Cell Outage Detection in Heterogeneous Networks with Separated Control and Data Plane,"Onireti, Oluwakayode; Imran, Ali; Imran, Muhammad Ali; Tafazolli, Rahim",DOI:10.1109/na
NPRP 5 - 1047 - 2 - 437,Conference Paper,Low-complexity scheduling policies for energy harvesting communication networks,"Blasco, P.  ;   Gunduz, D. ;   Dohler, M.",DOI:10.1109/ISIT.2013.6620497
NPRP 5 - 1047 - 2 - 437,Journal Paper,Characterizing Coverage and Downlink Throughput of Cloud Empowered HetNets,"Zaidi, S.A.R.; Imran, A.; McLernon, D.C.; Ghogho, M.,",ISSN:10897798
NPRP 5 - 1047 - 2 - 437,Journal Paper,A Cell Outage Management Framework for Dense Heterogeneous Networks,"Onireti, O.; Zoha, A.; Moysen, J.; Imran, A.; Giupponi, L.; Imran, M.; Abu Dayya, A.",ISSN:00189545
NPRP 5 - 1047 - 2 - 437,Journal Paper,How Reliable is MDT Based Autonomous Coverage Estimation in the Presence of User and BS Positioning Error,"Iman Akbari, Oluwakayode Onireti, Ali Imran, Muhammad Ali Imran, , and Rahim Tafazolli",ISSN:21622337
NPRP 5 - 1047 - 2 - 437,Journal Paper,Coverage Gain and Device-to-Device User Density: Stochastic Geometry Modeling and Analysis,"Mustafa, H.A. ; Shakir, M.Z. ; Imran, M.A. ; Imran, A. Rahim Tafazolli",ISSN:10897798
NPRP 5 - 1047 - 2 - 437,Journal Paper,Energy Efficient Inter-Frequency Small Cell Discovery in Heterogeneous Networks,"Onireti, O.; Imran, A. ; Imran, M. ; Tafazolli, R.",ISSN:00189545
NPRP 5 - 1047 - 2 - 437,Journal Paper,Separation Framework: An Enabler for Cooperative and D2D Communication for Future 5G Networks,IEEE Communications Surveys &amp; Tutorials,ISSN:1553877X
NPRP 5 - 1047 - 2 - 437,Journal Paper,A learning-based approach for autonomous outage detection and coverage optimization,"Ahmed Zoha, Arsalan Saeed, Ali Imran, Muhammad Imran, Adnan Abu-Dayya",ISSN:101022971
NPRP 5 - 1047 - 2 - 437,Journal Paper,LTE-advanced self-organizing network conflicts and coordination algorithms,"Lateef, H.Y. ; Imran, A. ; Ali Imran, M. ; Giupponi, L. MISCHA DOHLER",ISSN:15361284
NPRP 5 - 1047 - 2 - 437,Journal Paper,Control-Data Separation Architecture for Cellular Radio Access Networks: A Survey and Outlook,"Mohamed, A; Onireti, O. ; Imran, M.A. ; Imran, A. ; Tafazolli, R.",ISSN:1553877X
NPRP 5 - 1047 - 2 - 437,Book,nergy Management in Wireless Cellular and Ad-hoc Networks,"A Zoha, O Onireti, A Saeed, A Imran, MA Imran, A Abu-Dayya",ISBN:9783319275666
NPRP 5 - 1047 - 2 - 437,Conference Paper,Network densification: Challenges and opportunities in enabling 5G,"Romanous, Bashar; Bitar, Naim; Imran, Ali; Refai, Hazem",DOI:10.1109/CAMAD.2015.7390494
NPRP 5 - 1047 - 2 - 437,Conference Paper,Impact of inaccurate user and base station positioning on autonomous coverage estimation,"Akbari, Iman; Onireti, Oluwakayode; Imran, Ali; Imran, Muhammad Ali; Tafazolli, Rahim",DOI:doi: 10.1109/CAMAD.2015.7390491
NPRP 5 - 1047 - 2 - 437,Conference Paper,Energy efficient resource allocation for 5G Heterogeneous Networks,"Saeed, Arsalan; Katranaras, Efstathios; Zoha, Ahmed; Imran, Ali; Imran, Muhammad Ali; Dianati, Mehrdad",DOI:doi: 10.1109/CAMAD.2015.7390492
NPRP 5 - 1047 - 2 - 437,Conference Paper,On energy efficient inter-frequency small cell discovery in heterogeneous networks,"Onireti, O.; Imran, A.; Imran, M.A.; Tafazolli, R.,",DOI:doi: 10.1109/ICC.2015.7248291
NPRP 5 - 1047 - 2 - 437,Conference Paper,Mobility prediction for handover management in cellular networks with control/data separation,"Mohamed, A.; Onireti, O.; Hoseinitabatabaei, S.A.; Imran, M.; Imran, A.; Tafazolli, R.,",DOI:doi: 10.1109/ICC.2015.7248939
NPRP 5 - 1047 - 2 - 437,Conference Paper,Correlation-based adaptive pilot pattern in control/data separation architecture,"Mohamed, A.; Onireti, O.; Imran, M.; Imrany, A.; Tafazolli, R.",DOI:10.1109/ICC.2015.7248657
NPRP 5 - 1047 - 2 - 437,Conference Paper,Data-driven analytics for automated cell outage detection in Self-Organizing Networks,"Zoha, A.; Saeed, A.; Imran, A.; Imran, M.A.; Abu-Dayya, A.",DOI:10.1109/DRCN.2015.7149014
NPRP 5 - 1047 - 2 - 437,Conference Paper,Self-organized femto-to-macro interference coordination with partial information,"Galindo-Serrano, A. ; Giupponi, L.",DOI:10.1109/PIMRCW.2013.6707847
NPRP 5 - 1047 - 2 - 437,Conference Paper,Backhaul-aware self-organizing operator-shared small cell networks,"Blasco, P. ;   Bennis, M. ;   Dohler, M.",DOI:10.1109/ICC.2013.6654964
NPRP 5 - 1047 - 2 - 437,Conference Paper,Enabling IoT Empowered Smart Lighting Solutions: A Communication Theoretic Perspective,"Zaidi, S.A.R.  ;   Imran, A. ;   McLernon, D.C. ;   Ghogho, M.",DOI:10.1109/WCNCW.2014.6934875
NPRP 5 - 1047 - 2 - 437,Conference Paper,A SON solution for sleeping cell detection using low-dimensional embedding of MDT measurements,"Zoha, A.; Saeed, A. ;   Imran, A. ;   Imran, M.A. ;   Abu-Dayya, A.",DOI:10.1109/PIMRC.2014.7136428
NPRP 5 - 1047 - 2 - 437,Book,Design and Deployment of Small Cell Networks,"Lorenza Giupponi, Ali Imran and Ana Maria Galindo",ISBN:9781316419977
NPRP 5 - 1040 - 4 - 013,Conference Paper,Expression patterns of genes encoding antioxidative enzymes in date palm (Phoenix dactylifera) in response to salinity stress,"Mohamed Elsadig Eltayeb Habora; Amin Elsadig Eltayeb; Hisashi Tsujimoto; Kiyoshi Tanaka; Talaat Ahmed, Ph.d.",DOI:10.5339/qfarc.2014.EEPP1072
NPRP 5 - 1040 - 4 - 013,Journal Paper,Genomics Improvement of Agronomic Crops to Abiotic Stress,Osman Radwan,ISSN:23734469
NPRP 5 - 1040 - 4 - 013,Journal Paper,Genomics Improvement of Agronomic Crops to Abiotic Stress,Osman Radwan,ISSN:23736445
NPRP 5 - 1040 - 4 - 013,Journal Paper,RNA-Seq Transcriptome Analysis in Date Palm Suggests Multi-Dimensional Responses to Salinity Stress,"Osman Radwan, Jie Arro, Caroline Keller, Schuyler S. Korban",ISSN:19359756
NPRP 5 - 1024 - 3 - 225,,,,
NPRP 5 - 1021 - 5 - 159,Book,Education for a Knowledge Society in Arabian Gulf Countries,JUSTIN J.W. POWELL,ISBN:9781783508334
NPRP 5 - 1021 - 5 - 159,Book,Internationalization of Higher Education and Global Mobility,Justin J. W. Powell,ISBN:9781873927427
NPRP 5 - 1021 - 5 - 159,Online Paper,Innovation in a Small State: Qatar and the IBC Cluster Model of Higher Education,John T. Crist,DOI:DOI: 10.1111/muwo.12082
NPRP 5 - 1021 - 5 - 159,Book,Internationalization of Higher Education and Global Mobility,Justin J.W.Powell,ISBN:978-1-873927-42-7
NPRP 5 - 1021 - 5 - 159,Journal Paper,"UNIVERSITY ROOTS AND BRANCHES BETWEEN ""GLOCOLIZATION"" AND ""MODIALIZATION"":QATAR'S(INTER)NATIONAL UNIVERSITIES",Justin J. W. Powell,ISSN:14793679
NPRP 5 - 1021 - 5 - 159,Book,Internationalization of Higher Education and Global Mobility,Justin J. W. Powell,ISBN:978-1-873927-42-7
NPRP 5 - 1020 - 4 - 011,Conference Paper,Biochar from Solid Organic Municipal Wastes for Soil Quality  Enhancement and Environmental Sustainability,"Rishipal R. Bansode, Osman Hassan, Priscilla Randolph, Rehrah Djaafar and Mohamed Ahmedna",DOI:10.5339/qfarc.2014.EEPP0686
NPRP 5 - 1020 - 4 - 011,Conference Paper,Production and characterization of biochars from mixed solid organic waste for soil amendment,"Mohamed Ahmedna , Rishipal Bansode, Osman Hassan, Priscilla Randolph, and  Rehrah Djaafar.",DOI:4B-9-00000
NPRP 5 - 1020 - 4 - 011,Journal Paper,Physico-chemical characterization of biochars from solid municipal wastes for use in soil amendment,"D. Rehrah, R.R. Bansode, O. Hassan, M. Ahmedna",ISSN:01652370
